route,date,daytype,rides
172,01/08/2014,W,3361
18,01/08/2014,W,3686
19,01/08/2014,W,446
192,01/08/2014,W,955
2,01/08/2014,W,3200
20,01/08/2014,W,18177
201,01/08/2014,W,1735
205,01/08/2014,W,847
206,01/08/2014,W,706
21,01/08/2014,W,7228
22,01/08/2014,W,19454
24,01/08/2014,W,2778
26,01/08/2014,W,2968
28,01/08/2014,W,6071
29,01/08/2014,W,11553
3,01/08/2014,W,16767
30,01/08/2014,W,2541
34,01/08/2014,W,4588
35,01/08/2014,W,4501
36,01/08/2014,W,13378
37,01/08/2014,W,1742
39,01/08/2014,W,1854
4,01/08/2014,W,18492
43,01/08/2014,W,1533
44,01/08/2014,W,3964
47,01/08/2014,W,8301
48,01/08/2014,W,1048
49,01/08/2014,W,23401
49B,01/08/2014,W,5156
5,01/08/2014,W,367
50,01/08/2014,W,9111
51,01/08/2014,W,1370
52,01/08/2014,W,11313
52A,01/08/2014,W,3891
53,01/08/2014,W,18159
53A,01/08/2014,W,6309
54,01/08/2014,W,9937
54A,01/08/2014,W,827
54B,01/08/2014,W,2478
55,01/08/2014,W,10196
55A,01/08/2014,W,283
55N,01/08/2014,W,434
56,01/08/2014,W,9372
57,01/08/2014,W,4092
59,01/08/2014,W,3338
6,01/08/2014,W,9575
60,01/08/2014,W,9366
62,01/08/2014,W,9584
62H,01/08/2014,W,771
63,01/08/2014,W,16283
63W,01/08/2014,W,1219
65,01/08/2014,W,8042
66,01/08/2014,W,24335
67,01/08/2014,W,11060
68,01/08/2014,W,1305
7,01/08/2014,W,4970
70,01/08/2014,W,8806
71,01/08/2014,W,7656
72,01/08/2014,W,14638
73,01/08/2014,W,4724
74,01/08/2014,W,11820
75,01/08/2014,W,6938
76,01/08/2014,W,11018
77,01/08/2014,W,20074
78,01/08/2014,W,7720
79,01/08/2014,W,23223
8,01/08/2014,W,18592
80,01/08/2014,W,11943
81,01/08/2014,W,11244
81W,01/08/2014,W,1625
82,01/08/2014,W,18222
84,01/08/2014,W,3475
85,01/08/2014,W,9436
85A,01/08/2014,W,811
86,01/08/2014,W,2324
87,01/08/2014,W,10546
88,01/08/2014,W,1269
8A,01/08/2014,W,2705
9,01/08/2014,W,25558
90,01/08/2014,W,4133
91,01/08/2014,W,5604
92,01/08/2014,W,6429
93,01/08/2014,W,2948
94,01/08/2014,W,8223
95E,01/08/2014,W,3449
95W,01/08/2014,W,2102
96,01/08/2014,W,701
97,01/08/2014,W,2815
J14,01/08/2014,W,10330
X98,01/08/2014,W,21
1,01/09/2014,W,2275
100,01/09/2014,W,758
1001,01/09/2014,W,25
103,01/09/2014,W,2718
106,01/09/2014,W,1721
108,01/09/2014,W,1522
11,01/09/2014,W,1303
111,01/09/2014,W,3610
111A,01/09/2014,W,93
112,01/09/2014,W,2143
115,01/09/2014,W,3880
119,01/09/2014,W,4669
12,01/09/2014,W,12691
120,01/09/2014,W,1234
121,01/09/2014,W,1772
124,01/09/2014,W,882
125,01/09/2014,W,1781
126,01/09/2014,W,6231
132,01/09/2014,W,323
134,01/09/2014,W,3427
135,01/09/2014,W,3550
136,01/09/2014,W,2036
143,01/09/2014,W,2004
146,01/09/2014,W,13183
147,01/09/2014,W,11719
148,01/09/2014,W,2238
15,01/09/2014,W,7315
151,01/09/2014,W,16650
152,01/09/2014,W,10104
155,01/09/2014,W,5635
156,01/09/2014,W,8418
157,01/09/2014,W,4972
165,01/09/2014,W,85
169,01/09/2014,W,219
170,01/09/2014,W,598
171,01/09/2014,W,966
172,01/09/2014,W,2764
18,01/09/2014,W,3802
19,01/09/2014,W,288
192,01/09/2014,W,943
2,01/09/2014,W,3490
20,01/09/2014,W,19260
201,01/09/2014,W,1888
205,01/09/2014,W,864
206,01/09/2014,W,885
21,01/09/2014,W,7779
22,01/09/2014,W,19340
24,01/09/2014,W,3028
26,01/09/2014,W,3251
28,01/09/2014,W,7093
29,01/09/2014,W,13074
3,01/09/2014,W,18658
30,01/09/2014,W,3196
34,01/09/2014,W,5280
35,01/09/2014,W,5219
36,01/09/2014,W,11653
37,01/09/2014,W,1755
39,01/09/2014,W,1976
4,01/09/2014,W,19124
43,01/09/2014,W,1746
44,01/09/2014,W,4194
47,01/09/2014,W,9515
48,01/09/2014,W,1362
49,01/09/2014,W,24303
49B,01/09/2014,W,5291
5,01/09/2014,W,483
50,01/09/2014,W,10326
51,01/09/2014,W,1667
52,01/09/2014,W,11639
52A,01/09/2014,W,4639
53,01/09/2014,W,18900
53A,01/09/2014,W,6899
54,01/09/2014,W,10773
54A,01/09/2014,W,871
54B,01/09/2014,W,2906
55,01/09/2014,W,11310
55A,01/09/2014,W,289
55N,01/09/2014,W,557
56,01/09/2014,W,9414
57,01/09/2014,W,4562
59,01/09/2014,W,3454
6,01/09/2014,W,10114
60,01/09/2014,W,10365
62,01/09/2014,W,10015
62H,01/09/2014,W,1030
63,01/09/2014,W,17528
63W,01/09/2014,W,1130
65,01/09/2014,W,8053
66,01/09/2014,W,25382
67,01/09/2014,W,11876
68,01/09/2014,W,1294
7,01/09/2014,W,5554
70,01/09/2014,W,9141
71,01/09/2014,W,8953
72,01/09/2014,W,15804
73,01/09/2014,W,5528
74,01/09/2014,W,12825
75,01/09/2014,W,7363
76,01/09/2014,W,12239
77,01/09/2014,W,22222
78,01/09/2014,W,7632
79,01/09/2014,W,25551
8,01/09/2014,W,20109
80,01/09/2014,W,12322
81,01/09/2014,W,11526
81W,01/09/2014,W,1608
82,01/09/2014,W,18852
84,01/09/2014,W,3681
85,01/09/2014,W,10600
85A,01/09/2014,W,790
86,01/09/2014,W,2306
87,01/09/2014,W,11122
88,01/09/2014,W,1295
8A,01/09/2014,W,3080
9,01/09/2014,W,26522
90,01/09/2014,W,4250
91,01/09/2014,W,6499
92,01/09/2014,W,7171
93,01/09/2014,W,3550
94,01/09/2014,W,10033
95E,01/09/2014,W,3590
95W,01/09/2014,W,2296
96,01/09/2014,W,718
97,01/09/2014,W,2956
J14,01/09/2014,W,11857
X98,01/09/2014,W,19
1,01/10/2014,W,2267
100,01/10/2014,W,710
1001,01/10/2014,W,143
103,01/10/2014,W,2525
106,01/10/2014,W,1760
108,01/10/2014,W,1453
11,01/10/2014,W,1586
111,01/10/2014,W,3687
111A,01/10/2014,W,103
112,01/10/2014,W,2021
115,01/10/2014,W,3982
119,01/10/2014,W,4938
12,01/10/2014,W,14202
120,01/10/2014,W,1362
121,01/10/2014,W,1799
124,01/10/2014,W,1046
125,01/10/2014,W,1894
126,01/10/2014,W,6566
132,01/10/2014,W,330
134,01/10/2014,W,3251
135,01/10/2014,W,3516
136,01/10/2014,W,1928
143,01/10/2014,W,2130
146,01/10/2014,W,13203
147,01/10/2014,W,11766
148,01/10/2014,W,2171
15,01/10/2014,W,7779
151,01/10/2014,W,16949
152,01/10/2014,W,10195
155,01/10/2014,W,6275
156,01/10/2014,W,8562
157,01/10/2014,W,5032
165,01/10/2014,W,88
169,01/10/2014,W,196
170,01/10/2014,W,684
171,01/10/2014,W,1826
172,01/10/2014,W,2635
18,01/10/2014,W,3797
19,01/10/2014,W,210
192,01/10/2014,W,819
2,01/10/2014,W,3389
20,01/10/2014,W,18930
201,01/10/2014,W,1908
205,01/10/2014,W,918
206,01/10/2014,W,872
21,01/10/2014,W,8252
22,01/10/2014,W,19731
24,01/10/2014,W,3155
26,01/10/2014,W,3088
28,01/10/2014,W,7347
29,01/10/2014,W,13770
3,01/10/2014,W,17864
30,01/10/2014,W,3001
34,01/10/2014,W,5107
35,01/10/2014,W,5220
36,01/10/2014,W,12496
37,01/10/2014,W,1725
39,01/10/2014,W,1947
4,01/10/2014,W,21321
43,01/10/2014,W,1903
44,01/10/2014,W,4221
47,01/10/2014,W,9343
